Name,Score,Language,Domain,has_issue_headings,has_issue_regions,has_issue_image,has_issue_anchor,has_issue_table,has_issue_form,has_issue_lang,has_issue_title
University of Calgary in Alberta,61,en,.ca/,False,False,True,True,False,True,False,False
University of East Anglia,55,en,.ac.uk/,False,False,True,True,False,True,False,False
University of Bath,65,en,.ac.uk/,False,False,True,False,False,True,False,False
Universitetet i Bergen,84,nb,.uib.no/,False,False,True,True,False,True,False,False
Brandeis University,48,en,.edu/,False,False,True,True,False,False,False,False
Copenhagen Business School,95,da,.cbs.dk/,False,False,False,False,False,True,False,False
Curtin University,72,en,.edu.au/,False,False,True,False,False,True,False,False
Universität des 21.Jahrhunderts,55,de,.de/,False,False,True,True,False,False,False,False
Universität Hohenheim,55,de,.de/,False,False,True,False,False,True,False,False
La Trobe University,0,en,.edu.au/,False,False,True,False,False,True,False,False
Bienvenue à l'ULB,58,fr,.ulb.be/,False,False,True,False,False,True,False,False
Med Uni Graz,29,de,.at/,False,False,True,False,False,True,False,False
Medizinische Universität Innsbruck,89,de,.ac.at/,False,False,True,False,False,True,False,False
University of Otago,75,en,.ac.nz/,False,False,True,True,False,False,False,False
RCSI Dublin,75,en,.com/,False,False,True,True,False,False,False,False
Sapienza Università di Roma,81,it,.it/,False,False,True,True,False,True,False,False
Télécom Paris,47,fr,.fr/,False,False,True,True,False,True,False,False
Tilburg University,86,nl,.edu/,False,False,True,False,False,True,False,False
The University of Utah,83,en,.edu/,False,False,True,True,False,True,False,False
Wits University,88,en,.ac.za/,False,False,True,True,False,True,False,False
University of Wollongong,42,en,.edu.au/,False,False,True,True,False,True,False,False
AUT,34,en,.ac.nz/,False,False,True,False,False,True,False,False
Australian Catholic University,64,en,.edu.au/,False,False,True,True,False,False,False,False
Brighton and Sussex Medical School,80,en,.ac.uk/,False,False,True,False,False,True,False,False
Deakin University,78,en,.edu.au/,False,False,True,True,False,False,False,False
Ecole des Ponts ParisTech,50,fr,.fr/,False,False,True,True,False,True,False,False
Flinders University,42,en,.edu.au/,False,False,True,True,True,True,False,False
Friedrich-Schiller-Universität,33,de,.de/,False,True,True,True,False,False,False,False
HSE University,62,,.hse.ru/,False,False,True,False,False,True,True,False
Christian-Albrechts-Universität,42,de,.de/,False,False,True,True,False,True,False,False
Université Laval,22,fr,.ca/,False,False,True,False,False,True,False,False
Universidad de Navarra,59,es,.edu/,False,False,True,True,True,True,False,False
The University of New Mexico,60,en,.unm.edu/,False,False,True,True,False,True,False,False
Nova Southeastern University,62,en,.edu/,False,False,True,True,False,False,False,False
OHSU,95,en,.edu/,False,False,True,False,False,True,False,False
Università di Padova,30,it,.it/,False,True,True,True,False,False,False,False
Simon Fraser University,72,en,.sfu.ca/,False,False,True,False,False,True,False,False
Universität Potsdam,95,de,.de/,False,False,True,True,False,True,False,False
Stellenbosch University,82,en,.ac.za/,False,True,True,False,False,True,False,False
University of Surrey,31,en,.ac.uk/,False,False,True,True,False,True,False,False
Università della Svizzera italiana,44,it,.usi.ch/,False,True,True,False,False,False,False,False
Wake Forest University,74,en,.edu/,False,False,True,True,False,True,False,False
William & Mary,0,en,.edu/,False,False,True,True,False,False,False,False
Anglia Ruskin University,85,en,.ac.uk/,False,False,True,True,False,True,False,False
Boston College,59,en,.bc.edu/,False,False,True,True,False,True,False,False
UC Merced,74,en,.edu/,False,False,True,True,False,True,False,False
UC Merced,74,en,.edu/,False,False,True,True,False,True,False,False
Universität Greifswald,78,de,.de/,False,False,True,True,False,True,False,False
Indian Institute of Science,66,in,.ac.in/,False,False,True,True,False,False,False,False
Universität Klagenfurt,81,de,.aau.at/,False,False,True,True,False,False,False,False
Université de Montpellier,77,fr,.fr/,False,False,True,True,False,True,False,False
NC State University,71,en,.edu/,False,False,True,True,False,False,False,False
Oulun yliopisto,86,fi,.fi/,False,False,True,False,False,False,False,False
Háskólinn í Reykjavík,73,is,.ru.is/,False,False,True,False,False,True,False,False
RMIT University,92,en,.edu.au/,False,False,True,False,False,True,False,False
The University of Texas at Dallas,84,en,.edu/,False,False,True,False,False,True,False,False
University Trento,84,it,.it/,False,False,True,True,False,True,False,False
Tulane University,73,en,.edu/,False,False,True,True,False,True,False,False
Ýstanbul Bilgi Üniversitesi,60,tr,.edu.tr/,False,False,True,True,False,True,False,False
Kadir Has Üniversitesi,0,tr,.edu.tr/,False,False,True,False,False,True,False,False
Boðaziçi Üniversitesi,67,,.edu.tr/,True,True,False,True,False,True,True,False
Ýstanbul Üniversitesi - 1453,80,tr,.edu.tr/,True,True,False,False,False,False,False,False
Marmara Üniversitesi,32,tr,.edu.tr/,False,False,True,True,False,False,False,False
Yýldýz Teknik Üniversitesi,0,,.edu.tr/,True,False,True,True,False,True,True,False
Türk-Alman Üniversitesi,45,tr,.edu.tr/,False,False,True,True,False,False,False,False
Acýbadem Üniversitesi,60,tr,.edu.tr/,False,False,True,True,False,True,False,False
Altýnbaþ Üniversitesi,30,en,.edu.tr/,True,False,True,False,True,False,False,False
Iþýk Üniversitesi,16,tr,.edu.tr/,False,False,True,False,False,True,False,False
Ýstanbul Geliþim Üniversitesi,88,tr,.edu.tr/,False,False,True,False,False,True,False,False
